gender,age,time_of_day,date
0,27,17,0801
0,30,17,0801
0,48,17,0801
0,38,17,0801
0,30,17,0801
0,56,17,0801
0,33,17,0801
0,44,17,0801
0,40,17,0801
0,50,17,0801
0,33,17,0801
0,41,17,0801
0,34,17,0801
0,36,17,0801
0,37,17,0801
0,32,17,0801
0,33,17,0801
0,27,17,0801
0,27,17,0801
0,28,17,0801
0,42,17,0801
0,45,17,0801
0,39,17,0801
0,29,17,0801
0,27,17,0801
0,33,17,0801
0,39,17,0801
0,28,17,0801
0,59,17,0801
0,45,17,0801
0,46,17,0801
0,29,17,0801
0,32,17,0801
0,39,17,0801
0,59,17,0801
0,60,17,0801
0,25,17,0801
0,46,17,0801
0,59,17,0801
0,34,17,0801
0,31,17,0801
0,58,17,0801
0,40,17,0801
0,30,17,0801
0,43,17,0801
0,46,17,0801
0,25,17,0801
0,50,17,0801
0,38,17,0801
0,31,17,0801
0,59,17,0801
0,36,17,0801
0,26,17,0801
0,27,17,0801
0,50,17,0801
0,29,17,0801
0,47,17,0801
0,27,17,0801
0,34,17,0801
0,33,17,0801
0,43,17,0801
0,35,17,0801
0,40,17,0801
0,55,17,0801
0,25,17,0801
0,49,17,0801
0,36,17,0801
0,44,17,0801
0,27,17,0801
0,49,17,0801
0,43,17,0801
0,29,17,0801
0,32,17,0801
0,32,17,0801
0,32,17,0801
0,39,17,0801
0,29,17,0801
0,32,17,0801
0,45,17,0801
0,41,17,0801
0,30,17,0801
0,30,17,0801
0,48,17,0801
0,37,17,0801
0,38,17,0801
0,52,17,0801
0,38,17,0801
0,27,17,0801
0,25,17,0801
0,17,17,0801
0,24,17,0801
0,28,17,0801
0,29,17,0801
0,24,17,0801
0,34,17,0801
0,33,17,0801
0,27,17,0801
0,26,17,0801
0,23,17,0801
0,47,18,0801
0,29,18,0801
0,26,18,0801
0,39,18,0801
0,32,18,0801
0,32,18,0801
0,27,18,0801
0,30,18,0801
0,46,18,0801
0,43,18,0801
0,43,18,0801
0,24,18,0801
0,34,18,0801
0,31,18,0801
0,36,18,0801
0,45,18,0801
0,23,18,0801
0,43,18,0801
0,28,17,0801
0,25,18,0801
0,43,18,0801
0,26,18,0801
0,31,18,0801
0,26,18,0801
0,31,18,0801
0,28,18,0801
0,24,18,0801
0,26,18,0801
0,31,18,0801
0,34,18,0801
0,37,18,0801
0,52,18,0801
0,29,18,0801
0,27,18,0801
0,46,18,0801
0,34,18,0801
0,31,18,0801
0,37,18,0801
0,30,18,0801
0,35,18,0801
0,32,18,0801
0,35,18,0801
0,28,18,0801
0,30,18,0801
0,38,18,0801
0,39,18,0801
0,28,18,0801
0,28,18,0801
0,34,18,0801
0,27,18,0801
0,32,18,0801
0,29,18,0801
0,32,18,0801
0,30,18,0801
0,26,18,0801
0,25,18,0801
0,36,18,0801
0,25,18,0801
0,23,18,0801
0,39,18,0801
0,18,18,0801
0,28,18,0801
0,29,18,0801
0,28,18,0801
0,25,18,0801
0,53,18,0801
0,34,18,0801
0,26,18,0801
0,40,18,0801
0,42,18,0801
0,32,18,0801
0,40,18,0801
0,45,18,0801
0,39,18,0801
0,31,18,0801
0,30,18,0801
0,39,18,0801
0,39,18,0801
0,31,18,0801
0,40,18,0801
0,28,18,0801
0,39,18,0801
0,28,18,0801
0,32,18,0801
0,39,18,0801
0,28,18,0801
0,30,18,0801
0,43,18,0801
0,47,18,0801
0,35,18,0801
0,41,18,0801
0,34,18,0801
0,27,18,0801
0,31,18,0801
0,27,18,0801
0,64,18,0801
0,35,18,0801
0,30,18,0801
0,30,18,0801
0,32,18,0801
0,32,18,0801
0,38,18,0801
0,30,18,0801
0,39,18,0801
0,58,18,0801
0,24,18,0801
0,29,18,0801
0,32,18,0801
0,34,18,0801
0,33,18,0801
0,33,18,0801
0,39,18,0801
0,23,18,0801
0,25,18,0801
0,35,18,0801
0,58,18,0801
0,24,18,0801
0,38,18,0801
0,36,18,0801
0,43,18,0801
0,51,19,0801
0,32,19,0801
0,26,19,0801
0,56,19,0801
0,28,19,0801
0,34,19,0801
0,48,18,0801
0,44,19,0801
0,26,19,0801
0,38,19,0801
0,29,19,0801
0,29,19,0801
0,26,19,0801
0,28,19,0801
0,33,19,0801
0,29,19,0801
0,33,19,0801
0,35,19,0801
0,35,19,0801
0,32,19,0801
0,31,19,0801
0,31,19,0801
0,24,19,0801
0,35,19,0801
0,33,19,0801
0,40,19,0801
0,35,19,0801
0,24,19,0801
0,26,19,0801
0,24,19,0801
0,40,19,0801
0,32,19,0801
0,32,19,0801
0,25,19,0801
0,46,19,0801
0,27,19,0801
0,28,19,0801
0,32,19,0801
0,34,19,0801
0,59,19,0801
0,32,19,0801
0,48,19,0801
0,40,19,0801
0,23,19,0801
0,26,19,0801
0,32,19,0801
0,28,19,0801
0,28,19,0801
0,28,19,0801
0,36,19,0801
0,32,19,0801
0,30,19,0801
0,24,19,0801
0,29,19,0801
0,28,19,0801
0,35,19,0801
0,32,19,0801
0,58,19,0801
0,32,19,0801
0,29,19,0801
0,17,19,0801
0,28,19,0801
0,30,19,0801
0,36,19,0801
0,27,19,0801
0,34,19,0801
0,33,19,0801
0,32,19,0801
0,35,19,0801
0,17,19,0801
0,51,19,0801
0,29,19,0801
0,33,19,0801
0,37,19,0801
0,30,19,0801
0,59,19,0801
0,28,19,0801
0,48,19,0801
0,33,19,0801
0,35,20,0801
0,33,20,0801
0,25,20,0801
0,37,20,0801
0,35,20,0801
0,40,20,0801
0,29,20,0801
0,30,20,0801
0,31,20,0801
0,45,20,0801
0,32,20,0801
0,35,20,0801
0,59,20,0801
0,59,20,0801
0,37,20,0801
0,45,20,0801
0,26,20,0801
0,26,20,0801
0,28,20,0801
0,38,20,0801
0,28,20,0801
0,36,20,0801
0,31,20,0801
0,27,20,0801
0,35,20,0801
0,26,20,0801
0,29,20,0801
0,22,20,0801
0,40,20,0801
0,26,20,0801
0,26,20,0801
0,48,20,0801
0,23,20,0801
0,30,20,0801
0,25,20,0801
0,28,20,0801
0,31,20,0801
0,29,20,0801
0,29,20,0801
0,28,20,0801
0,27,20,0801
0,59,20,0801
0,28,20,0801
0,59,20,0801
0,41,20,0801
0,36,20,0801
0,32,20,0801
0,27,20,0801
0,36,20,0801
0,28,20,0801
0,29,20,0801
0,50,21,0801
0,27,21,0801
0,44,21,0801
0,30,21,0801
0,27,21,0801
0,26,21,0801
0,30,21,0801
0,22,21,0801
0,32,21,0801
0,26,21,0801
0,41,21,0801
0,43,21,0801
0,32,21,0801
0,32,21,0801
0,37,21,0801
0,31,21,0801
0,26,21,0801
0,33,21,0801
0,28,21,0801
0,26,21,0801
0,27,21,0801
0,24,21,0801
0,25,21,0801
0,43,21,0801
0,38,21,0801
0,44,21,0801
0,27,21,0801
0,40,21,0801
0,27,21,0801
0,28,21,0801
0,27,21,0801
0,29,21,0801
0,28,21,0801
0,25,21,0801
0,48,21,0801
0,29,21,0801
0,25,21,0801
0,30,21,0801
0,27,21,0801
0,28,21,0801
0,25,21,0801
0,42,21,0801
0,27,21,0801
0,44,21,0801
0,26,21,0801
0,32,21,0801
0,52,22,0801
0,25,22,0801
0,42,22,0801
0,40,22,0801
0,41,21,0801
0,29,22,0801
0,28,22,0801
0,26,22,0801
0,43,22,0801
0,30,22,0801
0,24,22,0801
0,34,22,0801
0,27,22,0801
0,24,22,0801
0,26,22,0801
0,33,22,0801
0,29,22,0801
0,26,22,0801
0,31,22,0801
0,31,22,0801
0,27,22,0801
0,27,22,0801
0,23,22,0801
0,26,22,0801
0,32,22,0801
0,27,22,0801
0,34,22,0801
0,25,22,0801
0,28,22,0801
0,40,22,0801
0,37,22,0801
0,32,22,0801
0,25,22,0801
0,50,22,0801
0,44,22,0801
0,39,22,0801
0,26,22,0801
0,27,22,0801
0,28,22,0801
