gender,age,month,dow,hod,station_id,distance,duration,speed
0,2,2,0,3,126,2,1,3
0,1,2,2,4,126,2,1,3
0,3,2,5,5,126,2,3,1
1,2,2,5,6,126,2,2,2
1,2,2,5,5,126,2,3,1
1,2,2,6,4,126,2,2,1
1,1,2,5,6,126,2,2,2
0,2,2,5,3,126,2,0,4
0,2,2,4,6,126,2,0,4
0,1,2,3,6,138,3,1,4
0,2,2,6,4,141,1,0,3
0,1,2,2,7,143,1,1,1
0,2,2,2,5,143,1,1,1
0,3,2,0,7,144,1,0,3
1,2,2,0,5,144,1,1,2
1,1,2,1,5,144,1,0,3
0,2,2,1,5,152,2,1,4
0,2,2,6,2,152,2,1,3
0,2,2,5,5,152,2,1,5
0,2,1,2,5,153,3,1,5
0,1,2,0,4,153,3,1,4
0,2,1,2,4,154,3,1,5
0,2,2,6,4,154,3,1,4
0,3,2,2,5,156,2,0,4
0,1,2,6,4,156,2,1,3
1,2,2,0,6,156,2,1,3
0,1,2,6,5,156,2,1,4
1,2,2,1,4,156,2,0,5
0,1,2,6,5,156,2,0,4
0,2,2,5,5,156,2,1,4
1,2,2,2,5,156,2,0,4
0,1,2,4,4,156,2,0,5
1,2,2,3,4,156,2,0,5
